<img src="C-natural-major.png"/>	<h1>C major / A minor</h1>	key-natural key-img
<h1>C major</h1>	<img src="C-natural-major.png"/>	key-natural key-major
<h1>A minor</h1>	<img src="C-natural-major.png"/>	key-natural key-minor
<img src="C-flat-major.png"/>	<h1>Cb major / Ab minor</h1>	key-flat key-img
<h1>Cb major</h1>	<img src="C-flat-major.png"/>	key-flat key-major
<h1>Ab minor</h1>	<img src="C-flat-major.png"/>	key-flat key-minor
<img src="C-sharp-major.png"/>	<h1>C# major / A# minor</h1>	key-sharp key-img
<h1>C# major</h1>	<img src="C-sharp-major.png"/>	key-sharp key-major
<h1>A# minor</h1>	<img src="C-sharp-major.png"/>	key-sharp key-minor
<img src="D-natural-major.png"/>	<h1>D major / B minor</h1>	key-natural key-img
<h1>D major</h1>	<img src="D-natural-major.png"/>	key-natural key-major
<h1>B minor</h1>	<img src="D-natural-major.png"/>	key-natural key-minor
<img src="D-flat-major.png"/>	<h1>Db major / Bb minor</h1>	key-flat key-img
<h1>Db major</h1>	<img src="D-flat-major.png"/>	key-flat key-major
<h1>Bb minor</h1>	<img src="D-flat-major.png"/>	key-flat key-minor
<img src="E-natural-major.png"/>	<h1>E major / C# minor</h1>	key-natural key-img
<h1>E major</h1>	<img src="E-natural-major.png"/>	key-natural key-major
<h1>C# minor</h1>	<img src="E-natural-major.png"/>	key-natural key-minor
<img src="E-flat-major.png"/>	<h1>Eb major / C minor</h1>	key-flat key-img
<h1>Eb major</h1>	<img src="E-flat-major.png"/>	key-flat key-major
<h1>C minor</h1>	<img src="E-flat-major.png"/>	key-flat key-minor
<img src="F-natural-major.png"/>	<h1>F major / D minor</h1>	key-natural key-img
<h1>F major</h1>	<img src="F-natural-major.png"/>	key-natural key-major
<h1>D minor</h1>	<img src="F-natural-major.png"/>	key-natural key-minor
<img src="F-sharp-major.png"/>	<h1>F# major / D# minor</h1>	key-sharp key-img
<h1>F# major</h1>	<img src="F-sharp-major.png"/>	key-sharp key-major
<h1>D# minor</h1>	<img src="F-sharp-major.png"/>	key-sharp key-minor
<img src="G-natural-major.png"/>	<h1>G major / E minor</h1>	key-natural key-img
<h1>G major</h1>	<img src="G-natural-major.png"/>	key-natural key-major
<h1>E minor</h1>	<img src="G-natural-major.png"/>	key-natural key-minor
<img src="G-flat-major.png"/>	<h1>Gb major / Eb minor</h1>	key-flat key-img
<h1>Gb major</h1>	<img src="G-flat-major.png"/>	key-flat key-major
<h1>Eb minor</h1>	<img src="G-flat-major.png"/>	key-flat key-minor
<img src="A-natural-major.png"/>	<h1>A major / F# minor</h1>	key-natural key-img
<h1>A major</h1>	<img src="A-natural-major.png"/>	key-natural key-major
<h1>F# minor</h1>	<img src="A-natural-major.png"/>	key-natural key-minor
<img src="A-flat-major.png"/>	<h1>Ab major / F minor</h1>	key-flat key-img
<h1>Ab major</h1>	<img src="A-flat-major.png"/>	key-flat key-major
<h1>F minor</h1>	<img src="A-flat-major.png"/>	key-flat key-minor
<img src="B-natural-major.png"/>	<h1>B major / G# minor</h1>	key-natural key-img
<h1>B major</h1>	<img src="B-natural-major.png"/>	key-natural key-major
<h1>G# minor</h1>	<img src="B-natural-major.png"/>	key-natural key-minor
<img src="B-flat-major.png"/>	<h1>Bb major / G minor</h1>	key-flat key-img
<h1>Bb major</h1>	<img src="B-flat-major.png"/>	key-flat key-major
<h1>G minor</h1>	<img src="B-flat-major.png"/>	key-flat key-minor
