The diminished 7th of C is...	<h1>Bbb</h1>	hardcore interval
The diminished 5th of C is...	<h1>Gb</h1>	hard interval
The augmented 5th of C is...	<h1>G#</h1>	hard interval
The augmented 4th of C is...	<h1>F#</h1>	hard interval
The major 7th of C# is...	<h1>B#</h1>	hardcore interval
The major 3rd of C# is...	<h1>E#</h1>	hardcore interval
The diminished 7th of C# is...	<h1>Bb</h1>	hardcore interval
The diminished 5th of C# is...	<h1>G</h1>	hard interval
The augmented 5th of C# is...	<h1>G##</h1>	hardcore interval
The augmented 4th of C# is...	<h1>F##</h1>	hardcore interval
The diminished 7th of D is...	<h1>Cb</h1>	hardcore interval
The diminished 5th of D is...	<h1>Ab</h1>	hard interval
The augmented 5th of D is...	<h1>A#</h1>	hard interval
The augmented 4th of D is...	<h1>G#</h1>	hard interval
The diminished 7th of Db is...	<h1>Cbb</h1>	hardcore interval
The diminished 5th of Db is...	<h1>Abb</h1>	hardcore interval
The minor 7th of Db is...	<h1>Cb</h1>	hardcore interval
The minor 6th of Db is...	<h1>Bbb</h1>	hardcore interval
The augmented 5th of Db is...	<h1>A</h1>	hard interval
The augmented 4th of Db is...	<h1>G</h1>	hard interval
The minor 3rd of Db is...	<h1>Fb</h1>	hardcore interval
The minor 2nd of Db is...	<h1>Ebb</h1>	hardcore interval
The major 7th of D# is...	<h1>C##</h1>	hardcore interval
The major 6th of D# is...	<h1>B#</h1>	hardcore interval
The major 3rd of D# is...	<h1>F##</h1>	hardcore interval
The major 2nd of D# is...	<h1>E#</h1>	hardcore interval
The diminished 7th of D# is...	<h1>C</h1>	hardcore interval
The diminished 5th of D# is...	<h1>A</h1>	hard interval
The augmented 5th of D# is...	<h1>A##</h1>	hardcore interval
The augmented 4th of D# is...	<h1>G##</h1>	hardcore interval
The diminished 7th of E is...	<h1>Db</h1>	hardcore interval
The diminished 5th of E is...	<h1>Bb</h1>	hard interval
The augmented 5th of E is...	<h1>B#</h1>	hardcore interval
The augmented 4th of E is...	<h1>A#</h1>	hard interval
The diminished 7th of Eb is...	<h1>Dbb</h1>	hardcore interval
The diminished 5th of Eb is...	<h1>Bbb</h1>	hardcore interval
The minor 6th of Eb is...	<h1>Cb</h1>	hardcore interval
The augmented 5th of Eb is...	<h1>B</h1>	hard interval
The augmented 4th of Eb is...	<h1>A</h1>	hard interval
The minor 2nd of Eb is...	<h1>Fb</h1>	hardcore interval
The diminished 7th of F is...	<h1>Ebb</h1>	hardcore interval
The diminished 5th of F is...	<h1>Cb</h1>	hardcore interval
The augmented 5th of F is...	<h1>C#</h1>	hard interval
The augmented 4th of F is...	<h1>B</h1>	hard interval
The major 7th of F# is...	<h1>E#</h1>	hardcore interval
The diminished 7th of F# is...	<h1>Eb</h1>	hardcore interval
The diminished 5th of F# is...	<h1>C</h1>	hard interval
The augmented 5th of F# is...	<h1>C##</h1>	hardcore interval
The augmented 4th of F# is...	<h1>B#</h1>	hardcore interval
The diminished 7th of G is...	<h1>Fb</h1>	hardcore interval
The diminished 5th of G is...	<h1>Db</h1>	hard interval
The augmented 5th of G is...	<h1>D#</h1>	hard interval
The augmented 4th of G is...	<h1>C#</h1>	hard interval
The perfect 4th of Gb is...	<h1>Cb</h1>	hardcore interval
The diminished 7th of Gb is...	<h1>Fbb</h1>	hardcore interval
The diminished 5th of Gb is...	<h1>Dbb</h1>	hardcore interval
The minor 7th of Gb is...	<h1>Fb</h1>	hardcore interval
The minor 6th of Gb is...	<h1>Ebb</h1>	hardcore interval
The augmented 5th of Gb is...	<h1>D</h1>	hard interval
The augmented 4th of Gb is...	<h1>C</h1>	hard interval
The minor 3rd of Gb is...	<h1>Bbb</h1>	hardcore interval
The minor 2nd of Gb is...	<h1>Abb</h1>	hardcore interval
The major 7th of G# is...	<h1>F##</h1>	hardcore interval
The major 6th of G# is...	<h1>E#</h1>	hardcore interval
The major 3rd of G# is...	<h1>B#</h1>	hardcore interval
The diminished 7th of G# is...	<h1>F</h1>	hardcore interval
The diminished 5th of G# is...	<h1>D</h1>	hard interval
The augmented 5th of G# is...	<h1>D##</h1>	hardcore interval
The augmented 4th of G# is...	<h1>C##</h1>	hardcore interval
The diminished 7th of A is...	<h1>Gb</h1>	hardcore interval
The diminished 5th of A is...	<h1>Eb</h1>	hard interval
The augmented 5th of A is...	<h1>E#</h1>	hardcore interval
The augmented 4th of A is...	<h1>D#</h1>	hard interval
The diminished 7th of Ab is...	<h1>Gbb</h1>	hardcore interval
The diminished 5th of Ab is...	<h1>Ebb</h1>	hardcore interval
The minor 6th of Ab is...	<h1>Fb</h1>	hardcore interval
The augmented 5th of Ab is...	<h1>E</h1>	hard interval
