The perfect 4th of C is...	<h1>F</h1>	middle interval
The major 7th of C is...	<h1>B</h1>	middle interval
The major 6th of C is...	<h1>A</h1>	middle interval
The minor 7th of C is...	<h1>Bb</h1>	middle interval
The minor 6th of C is...	<h1>Ab</h1>	middle interval
The minor 2nd of C is...	<h1>Db</h1>	middle interval
The perfect 4th of C# is...	<h1>F#</h1>	middle interval
The major 6th of C# is...	<h1>A#</h1>	middle interval
The minor 7th of C# is...	<h1>B</h1>	middle interval
The minor 6th of C# is...	<h1>A</h1>	middle interval
The minor 2nd of C# is...	<h1>D</h1>	middle interval
The perfect 4th of D is...	<h1>G</h1>	middle interval
The major 7th of D is...	<h1>C#</h1>	middle interval
The major 6th of D is...	<h1>B</h1>	middle interval
The minor 7th of D is...	<h1>C</h1>	middle interval
The minor 6th of D is...	<h1>Bb</h1>	middle interval
The minor 2nd of D is...	<h1>Eb</h1>	middle interval
The perfect 4th of Db is...	<h1>Gb</h1>	middle interval
The major 7th of Db is...	<h1>C</h1>	middle interval
The major 6th of Db is...	<h1>Bb</h1>	middle interval
The perfect 4th of D# is...	<h1>G#</h1>	middle interval
The minor 7th of D# is...	<h1>C#</h1>	middle interval
The minor 6th of D# is...	<h1>B</h1>	middle interval
The minor 2nd of D# is...	<h1>E</h1>	middle interval
The perfect 4th of E is...	<h1>A</h1>	middle interval
The major 7th of E is...	<h1>D#</h1>	middle interval
The major 6th of E is...	<h1>C#</h1>	middle interval
The minor 7th of E is...	<h1>D</h1>	middle interval
The minor 6th of E is...	<h1>C</h1>	middle interval
The minor 2nd of E is...	<h1>F</h1>	middle interval
The perfect 4th of Eb is...	<h1>Ab</h1>	middle interval
The major 7th of Eb is...	<h1>D</h1>	middle interval
The major 6th of Eb is...	<h1>C</h1>	middle interval
The minor 7th of Eb is...	<h1>Db</h1>	middle interval
The perfect 4th of F is...	<h1>Bb</h1>	middle interval
The major 7th of F is...	<h1>E</h1>	middle interval
The major 6th of F is...	<h1>D</h1>	middle interval
The minor 7th of F is...	<h1>Eb</h1>	middle interval
The minor 6th of F is...	<h1>Db</h1>	middle interval
The minor 2nd of F is...	<h1>Gb</h1>	middle interval
The perfect 4th of F# is...	<h1>B</h1>	middle interval
The major 6th of F# is...	<h1>D#</h1>	middle interval
The minor 7th of F# is...	<h1>E</h1>	middle interval
The minor 6th of F# is...	<h1>D</h1>	middle interval
The minor 2nd of F# is...	<h1>G</h1>	middle interval
The perfect 4th of G is...	<h1>C</h1>	middle interval
The major 7th of G is...	<h1>F#</h1>	middle interval
The major 6th of G is...	<h1>E</h1>	middle interval
The minor 7th of G is...	<h1>F</h1>	middle interval
The minor 6th of G is...	<h1>Eb</h1>	middle interval
The minor 2nd of G is...	<h1>Ab</h1>	middle interval
The major 7th of Gb is...	<h1>F</h1>	middle interval
The major 6th of Gb is...	<h1>Eb</h1>	middle interval
The perfect 4th of G# is...	<h1>C#</h1>	middle interval
The minor 7th of G# is...	<h1>F#</h1>	middle interval
The minor 6th of G# is...	<h1>E</h1>	middle interval
The minor 2nd of G# is...	<h1>A</h1>	middle interval
The perfect 4th of A is...	<h1>D</h1>	middle interval
The major 7th of A is...	<h1>G#</h1>	middle interval
The major 6th of A is...	<h1>F#</h1>	middle interval
The minor 7th of A is...	<h1>G</h1>	middle interval
The minor 6th of A is...	<h1>F</h1>	middle interval
The minor 2nd of A is...	<h1>Bb</h1>	middle interval
The perfect 4th of Ab is...	<h1>Db</h1>	middle interval
The major 7th of Ab is...	<h1>G</h1>	middle interval
The major 6th of Ab is...	<h1>F</h1>	middle interval
The minor 7th of Ab is...	<h1>Gb</h1>	middle interval
The perfect 4th of A# is...	<h1>D#</h1>	middle interval
The minor 7th of A# is...	<h1>G#</h1>	middle interval
The minor 6th of A# is...	<h1>F#</h1>	middle interval
The minor 2nd of A# is...	<h1>B</h1>	middle interval
The perfect 4th of B is...	<h1>E</h1>	middle interval
The major 7th of B is...	<h1>A#</h1>	middle interval
The major 6th of B is...	<h1>G#</h1>	middle interval
The minor 7th of B is...	<h1>A</h1>	middle interval
The minor 6th of B is...	<h1>G</h1>	middle interval
The minor 2nd of B is...	<h1>C</h1>	middle interval
The perfect 4th of Bb is...	<h1>Eb</h1>	middle interval
The major 7th of Bb is...	<h1>A</h1>	middle interval
The major 6th of Bb is...	<h1>G</h1>	middle interval
The minor 7th of Bb is...	<h1>Ab</h1>	middle interval
The minor 6th of Bb is...	<h1>Gb</h1>	middle interval
