The perfect 4th of C is...	<h1>F</h1>	middle interval
The perfect 5th of C is...	<h1>G</h1>	easy interval
The major 7th of C is...	<h1>B</h1>	middle interval
The major 6th of C is...	<h1>A</h1>	middle interval
The major 3rd of C is...	<h1>E</h1>	easy interval
The major 2nd of C is...	<h1>D</h1>	easy interval
The diminished 7th of C is...	<h1>Bbb</h1>	hardcore interval
The diminished 5th of C is...	<h1>Gb</h1>	hard interval
The minor 7th of C is...	<h1>Bb</h1>	middle interval
The minor 6th of C is...	<h1>Ab</h1>	middle interval
The augmented 5th of C is...	<h1>G#</h1>	hard interval
The augmented 4th of C is...	<h1>F#</h1>	hard interval
The minor 3rd of C is...	<h1>Eb</h1>	easy interval
The minor 2nd of C is...	<h1>Db</h1>	middle interval
The 11 of C is...	<h1>F</h1>	middle chord-interval
The 13 of C is...	<h1>A</h1>	middle chord-interval
The b13 of C is...	<h1>Ab</h1>	middle chord-interval
The 9 of C is...	<h1>D</h1>	middle chord-interval
The #11 of C is...	<h1>F#</h1>	middle chord-interval
The b9 of C is...	<h1>Db</h1>	middle chord-interval
The perfect 4th of C# is...	<h1>F#</h1>	middle interval
The perfect 5th of C# is...	<h1>G#</h1>	easy interval
The major 7th of C# is...	<h1>B#</h1>	hardcore interval
The major 6th of C# is...	<h1>A#</h1>	middle interval
The major 3rd of C# is...	<h1>E#</h1>	hardcore interval
The major 2nd of C# is...	<h1>D#</h1>	easy interval
The diminished 7th of C# is...	<h1>Bb</h1>	hardcore interval
The diminished 5th of C# is...	<h1>G</h1>	hard interval
The minor 7th of C# is...	<h1>B</h1>	middle interval
The minor 6th of C# is...	<h1>A</h1>	middle interval
The augmented 5th of C# is...	<h1>G##</h1>	hardcore interval
The augmented 4th of C# is...	<h1>F##</h1>	hardcore interval
The minor 3rd of C# is...	<h1>E</h1>	easy interval
The minor 2nd of C# is...	<h1>D</h1>	middle interval
The 11 of C# is...	<h1>F#</h1>	middle chord-interval
The 13 of C# is...	<h1>A#</h1>	middle chord-interval
The b13 of C# is...	<h1>A</h1>	middle chord-interval
The 9 of C# is...	<h1>D#</h1>	middle chord-interval
The #11 of C# is...	<h1>F##</h1>	hardcore chord-interval
The b9 of C# is...	<h1>D</h1>	middle chord-interval
The perfect 4th of D is...	<h1>G</h1>	middle interval
The perfect 5th of D is...	<h1>A</h1>	easy interval
The major 7th of D is...	<h1>C#</h1>	middle interval
The major 6th of D is...	<h1>B</h1>	middle interval
The major 3rd of D is...	<h1>F#</h1>	easy interval
The major 2nd of D is...	<h1>E</h1>	easy interval
The diminished 7th of D is...	<h1>Cb</h1>	hardcore interval
The diminished 5th of D is...	<h1>Ab</h1>	hard interval
The minor 7th of D is...	<h1>C</h1>	middle interval
The minor 6th of D is...	<h1>Bb</h1>	middle interval
The augmented 5th of D is...	<h1>A#</h1>	hard interval
The augmented 4th of D is...	<h1>G#</h1>	hard interval
The minor 3rd of D is...	<h1>F</h1>	easy interval
The minor 2nd of D is...	<h1>Eb</h1>	middle interval
The 11 of D is...	<h1>G</h1>	middle chord-interval
The 13 of D is...	<h1>B</h1>	middle chord-interval
The b13 of D is...	<h1>Bb</h1>	middle chord-interval
The 9 of D is...	<h1>E</h1>	middle chord-interval
The #11 of D is...	<h1>G#</h1>	middle chord-interval
The b9 of D is...	<h1>Eb</h1>	middle chord-interval
The perfect 4th of Db is...	<h1>Gb</h1>	middle interval
The perfect 5th of Db is...	<h1>Ab</h1>	easy interval
The major 7th of Db is...	<h1>C</h1>	middle interval
The major 6th of Db is...	<h1>Bb</h1>	middle interval
The major 3rd of Db is...	<h1>F</h1>	easy interval
The major 2nd of Db is...	<h1>Eb</h1>	easy interval
The diminished 7th of Db is...	<h1>Cbb</h1>	hardcore interval
The diminished 5th of Db is...	<h1>Abb</h1>	hardcore interval
The minor 7th of Db is...	<h1>Cb</h1>	hardcore interval
The minor 6th of Db is...	<h1>Bbb</h1>	hardcore interval
The augmented 5th of Db is...	<h1>A</h1>	hard interval
The augmented 4th of Db is...	<h1>G</h1>	hard interval
The minor 3rd of Db is...	<h1>Fb</h1>	hardcore interval
The minor 2nd of Db is...	<h1>Ebb</h1>	hardcore interval
The 11 of Db is...	<h1>Gb</h1>	middle chord-interval
The 13 of Db is...	<h1>Bb</h1>	middle chord-interval
The b13 of Db is...	<h1>Bbb</h1>	hardcore chord-interval
The 9 of Db is...	<h1>Eb</h1>	middle chord-interval
The #11 of Db is...	<h1>G</h1>	middle chord-interval
The b9 of Db is...	<h1>Ebb</h1>	hardcore chord-interval
The perfect 4th of D# is...	<h1>G#</h1>	middle interval
The perfect 5th of D# is...	<h1>A#</h1>	easy interval
The major 7th of D# is...	<h1>C##</h1>	hardcore interval
The major 6th of D# is...	<h1>B#</h1>	hardcore interval
The major 3rd of D# is...	<h1>F##</h1>	hardcore interval
The major 2nd of D# is...	<h1>E#</h1>	hardcore interval
The diminished 7th of D# is...	<h1>C</h1>	hardcore interval
The diminished 5th of D# is...	<h1>A</h1>	hard interval
The minor 7th of D# is...	<h1>C#</h1>	middle interval
The minor 6th of D# is...	<h1>B</h1>	middle interval
The augmented 5th of D# is...	<h1>A##</h1>	hardcore interval
The augmented 4th of D# is...	<h1>G##</h1>	hardcore interval
The minor 3rd of D# is...	<h1>F#</h1>	easy interval
The minor 2nd of D# is...	<h1>E</h1>	middle interval
The 11 of D# is...	<h1>G#</h1>	middle chord-interval
The 13 of D# is...	<h1>B#</h1>	hardcore chord-interval
The b13 of D# is...	<h1>B</h1>	middle chord-interval
The 9 of D# is...	<h1>E#</h1>	hardcore chord-interval
The #11 of D# is...	<h1>G##</h1>	hardcore chord-interval
The b9 of D# is...	<h1>E</h1>	middle chord-interval
The perfect 4th of E is...	<h1>A</h1>	middle interval
The perfect 5th of E is...	<h1>B</h1>	easy interval
The major 7th of E is...	<h1>D#</h1>	middle interval
The major 6th of E is...	<h1>C#</h1>	middle interval
The major 3rd of E is...	<h1>G#</h1>	easy interval
The major 2nd of E is...	<h1>F#</h1>	easy interval
The diminished 7th of E is...	<h1>Db</h1>	hardcore interval
The diminished 5th of E is...	<h1>Bb</h1>	hard interval
The minor 7th of E is...	<h1>D</h1>	middle interval
The minor 6th of E is...	<h1>C</h1>	middle interval
The augmented 5th of E is...	<h1>B#</h1>	hardcore interval
The augmented 4th of E is...	<h1>A#</h1>	hard interval
The minor 3rd of E is...	<h1>G</h1>	easy interval
The minor 2nd of E is...	<h1>F</h1>	middle interval
The 11 of E is...	<h1>A</h1>	middle chord-interval
The 13 of E is...	<h1>C#</h1>	middle chord-interval
The b13 of E is...	<h1>C</h1>	middle chord-interval
The 9 of E is...	<h1>F#</h1>	middle chord-interval
The #11 of E is...	<h1>A#</h1>	middle chord-interval
The b9 of E is...	<h1>F</h1>	middle chord-interval
The perfect 4th of Eb is...	<h1>Ab</h1>	middle interval
The perfect 5th of Eb is...	<h1>Bb</h1>	easy interval
The major 7th of Eb is...	<h1>D</h1>	middle interval
The major 6th of Eb is...	<h1>C</h1>	middle interval
The major 3rd of Eb is...	<h1>G</h1>	easy interval
The major 2nd of Eb is...	<h1>F</h1>	easy interval
The diminished 7th of Eb is...	<h1>Dbb</h1>	hardcore interval
The diminished 5th of Eb is...	<h1>Bbb</h1>	hardcore interval
The minor 7th of Eb is...	<h1>Db</h1>	middle interval
The minor 6th of Eb is...	<h1>Cb</h1>	hardcore interval
The augmented 5th of Eb is...	<h1>B</h1>	hard interval
The augmented 4th of Eb is...	<h1>A</h1>	hard interval
The minor 3rd of Eb is...	<h1>Gb</h1>	easy interval
The minor 2nd of Eb is...	<h1>Fb</h1>	hardcore interval
The 11 of Eb is...	<h1>Ab</h1>	middle chord-interval
The 13 of Eb is...	<h1>C</h1>	middle chord-interval
The b13 of Eb is...	<h1>Cb</h1>	hardcore chord-interval
The 9 of Eb is...	<h1>F</h1>	middle chord-interval
The #11 of Eb is...	<h1>A</h1>	middle chord-interval
The b9 of Eb is...	<h1>Fb</h1>	hardcore chord-interval
The perfect 4th of F is...	<h1>Bb</h1>	middle interval
The perfect 5th of F is...	<h1>C</h1>	easy interval
The major 7th of F is...	<h1>E</h1>	middle interval
The major 6th of F is...	<h1>D</h1>	middle interval
The major 3rd of F is...	<h1>A</h1>	easy interval
The major 2nd of F is...	<h1>G</h1>	easy interval
The diminished 7th of F is...	<h1>Ebb</h1>	hardcore interval
The diminished 5th of F is...	<h1>Cb</h1>	hardcore interval
The minor 7th of F is...	<h1>Eb</h1>	middle interval
The minor 6th of F is...	<h1>Db</h1>	middle interval
The augmented 5th of F is...	<h1>C#</h1>	hard interval
The augmented 4th of F is...	<h1>B</h1>	hard interval
The minor 3rd of F is...	<h1>Ab</h1>	easy interval
The minor 2nd of F is...	<h1>Gb</h1>	middle interval
The 11 of F is...	<h1>Bb</h1>	middle chord-interval
The 13 of F is...	<h1>D</h1>	middle chord-interval
The b13 of F is...	<h1>Db</h1>	middle chord-interval
The 9 of F is...	<h1>G</h1>	middle chord-interval
The #11 of F is...	<h1>B</h1>	middle chord-interval
The b9 of F is...	<h1>Gb</h1>	middle chord-interval
The perfect 4th of F# is...	<h1>B</h1>	middle interval
The perfect 5th of F# is...	<h1>C#</h1>	easy interval
The major 7th of F# is...	<h1>E#</h1>	hardcore interval
The major 6th of F# is...	<h1>D#</h1>	middle interval
The major 3rd of F# is...	<h1>A#</h1>	easy interval
The major 2nd of F# is...	<h1>G#</h1>	easy interval
The diminished 7th of F# is...	<h1>Eb</h1>	hardcore interval
The diminished 5th of F# is...	<h1>C</h1>	hard interval
The minor 7th of F# is...	<h1>E</h1>	middle interval
The minor 6th of F# is...	<h1>D</h1>	middle interval
The augmented 5th of F# is...	<h1>C##</h1>	hardcore interval
The augmented 4th of F# is...	<h1>B#</h1>	hardcore interval
The minor 3rd of F# is...	<h1>A</h1>	easy interval
The minor 2nd of F# is...	<h1>G</h1>	middle interval
The 11 of F# is...	<h1>B</h1>	middle chord-interval
The 13 of F# is...	<h1>D#</h1>	middle chord-interval
The b13 of F# is...	<h1>D</h1>	middle chord-interval
The 9 of F# is...	<h1>G#</h1>	middle chord-interval
The #11 of F# is...	<h1>B#</h1>	hardcore chord-interval
